ano_mes,indice_cpi,fonte
2020-01-01,136.8,StatCan v41690973 CPI all-items Canada 2002=100
2020-02-01,137.4,StatCan v41690973 CPI all-items Canada 2002=100
2020-03-01,136.6,StatCan v41690973 CPI all-items Canada 2002=100
2020-04-01,135.7,StatCan v41690973 CPI all-items Canada 2002=100
2020-05-01,136.1,StatCan v41690973 CPI all-items Canada 2002=100
2020-06-01,137.2,StatCan v41690973 CPI all-items Canada 2002=100
2020-07-01,137.2,StatCan v41690973 CPI all-items Canada 2002=100
2020-08-01,137.0,StatCan v41690973 CPI all-items Canada 2002=100
2020-09-01,136.9,StatCan v41690973 CPI all-items Canada 2002=100
2020-10-01,137.5,StatCan v41690973 CPI all-items Canada 2002=100
2020-11-01,137.7,StatCan v41690973 CPI all-items Canada 2002=100
2020-12-01,137.4,StatCan v41690973 CPI all-items Canada 2002=100
2021-01-01,138.2,StatCan v41690973 CPI all-items Canada 2002=100
2021-02-01,138.9,StatCan v41690973 CPI all-items Canada 2002=100
2021-03-01,139.6,StatCan v41690973 CPI all-items Canada 2002=100
2021-04-01,140.3,StatCan v41690973 CPI all-items Canada 2002=100
2021-05-01,141.0,StatCan v41690973 CPI all-items Canada 2002=100
2021-06-01,141.4,StatCan v41690973 CPI all-items Canada 2002=100
2021-07-01,142.3,StatCan v41690973 CPI all-items Canada 2002=100
2021-08-01,142.6,StatCan v41690973 CPI all-items Canada 2002=100
2021-09-01,142.9,StatCan v41690973 CPI all-items Canada 2002=100
2021-10-01,143.9,StatCan v41690973 CPI all-items Canada 2002=100
2021-11-01,144.2,StatCan v41690973 CPI all-items Canada 2002=100
2021-12-01,144.0,StatCan v41690973 CPI all-items Canada 2002=100
2022-01-01,145.3,StatCan v41690973 CPI all-items Canada 2002=100
2022-02-01,146.8,StatCan v41690973 CPI all-items Canada 2002=100
2022-03-01,148.9,StatCan v41690973 CPI all-items Canada 2002=100
2022-04-01,149.8,StatCan v41690973 CPI all-items Canada 2002=100
2022-05-01,151.9,StatCan v41690973 CPI all-items Canada 2002=100
2022-06-01,152.9,StatCan v41690973 CPI all-items Canada 2002=100
2022-07-01,153.1,StatCan v41690973 CPI all-items Canada 2002=100
2022-08-01,152.6,StatCan v41690973 CPI all-items Canada 2002=100
2022-09-01,152.7,StatCan v41690973 CPI all-items Canada 2002=100
2022-10-01,153.8,StatCan v41690973 CPI all-items Canada 2002=100
2022-11-01,154.0,StatCan v41690973 CPI all-items Canada 2002=100
2022-12-01,153.1,StatCan v41690973 CPI all-items Canada 2002=100
2023-01-01,153.9,StatCan v41690973 CPI all-items Canada 2002=100
2023-02-01,154.5,StatCan v41690973 CPI all-items Canada 2002=100
2023-03-01,155.3,StatCan v41690973 CPI all-items Canada 2002=100
2023-04-01,156.4,StatCan v41690973 CPI all-items Canada 2002=100
2023-05-01,157.0,StatCan v41690973 CPI all-items Canada 2002=100
2023-06-01,157.2,StatCan v41690973 CPI all-items Canada 2002=100
2023-07-01,158.1,StatCan v41690973 CPI all-items Canada 2002=100
2023-08-01,158.7,StatCan v41690973 CPI all-items Canada 2002=100
2023-09-01,158.5,StatCan v41690973 CPI all-items Canada 2002=100
2023-10-01,158.6,StatCan v41690973 CPI all-items Canada 2002=100
2023-11-01,158.8,StatCan v41690973 CPI all-items Canada 2002=100
2023-12-01,158.3,StatCan v41690973 CPI all-items Canada 2002=100
2024-01-01,158.3,StatCan v41690973 CPI all-items Canada 2002=100
2024-02-01,158.8,StatCan v41690973 CPI all-items Canada 2002=100
2024-03-01,159.8,StatCan v41690973 CPI all-items Canada 2002=100
2024-04-01,160.6,StatCan v41690973 CPI all-items Canada 2002=100
2024-05-01,161.5,StatCan v41690973 CPI all-items Canada 2002=100
2024-06-01,161.4,StatCan v41690973 CPI all-items Canada 2002=100
2024-07-01,162.1,StatCan v41690973 CPI all-items Canada 2002=100
2024-08-01,161.8,StatCan v41690973 CPI all-items Canada 2002=100
2024-09-01,161.1,StatCan v41690973 CPI all-items Canada 2002=100
2024-10-01,161.8,StatCan v41690973 CPI all-items Canada 2002=100
2024-11-01,161.8,StatCan v41690973 CPI all-items Canada 2002=100
2024-12-01,161.2,StatCan v41690973 CPI all-items Canada 2002=100
2025-01-01,161.3,StatCan v41690973 CPI all-items Canada 2002=100
2025-02-01,163.0,StatCan v41690973 CPI all-items Canada 2002=100
2025-03-01,163.5,StatCan v41690973 CPI all-items Canada 2002=100
2025-04-01,163.4,StatCan v41690973 CPI all-items Canada 2002=100
2025-05-01,164.3,StatCan v41690973 CPI all-items Canada 2002=100
2025-06-01,164.4,StatCan v41690973 CPI all-items Canada 2002=100
2025-07-01,164.9,StatCan v41690973 CPI all-items Canada 2002=100
2025-08-01,164.8,StatCan v41690973 CPI all-items Canada 2002=100
2025-09-01,164.9,StatCan v41690973 CPI all-items Canada 2002=100
2025-10-01,165.3,StatCan v41690973 CPI all-items Canada 2002=100
2025-11-01,165.4,StatCan v41690973 CPI all-items Canada 2002=100
2025-12-01,165.0,StatCan v41690973 CPI all-items Canada 2002=100
