ano_mes,indice_cpi,fonte,fator_cpi_para_2025_12
2020-01-01,136.8,StatCan v41690973 CPI all-items Canada 2002=100,1.2061403508771928
2020-02-01,137.4,StatCan v41690973 CPI all-items Canada 2002=100,1.2008733624454149
2020-03-01,136.6,StatCan v41690973 CPI all-items Canada 2002=100,1.2079062957540263
2020-04-01,135.7,StatCan v41690973 CPI all-items Canada 2002=100,1.2159174649963156
2020-05-01,136.1,StatCan v41690973 CPI all-items Canada 2002=100,1.2123438648052902
2020-06-01,137.2,StatCan v41690973 CPI all-items Canada 2002=100,1.2026239067055395
2020-07-01,137.2,StatCan v41690973 CPI all-items Canada 2002=100,1.2026239067055395
2020-08-01,137.0,StatCan v41690973 CPI all-items Canada 2002=100,1.2043795620437956
2020-09-01,136.9,StatCan v41690973 CPI all-items Canada 2002=100,1.2052593133674214
2020-10-01,137.5,StatCan v41690973 CPI all-items Canada 2002=100,1.2
2020-11-01,137.7,StatCan v41690973 CPI all-items Canada 2002=100,1.198257080610022
2020-12-01,137.4,StatCan v41690973 CPI all-items Canada 2002=100,1.2008733624454149
2021-01-01,138.2,StatCan v41690973 CPI all-items Canada 2002=100,1.1939218523878439
2021-02-01,138.9,StatCan v41690973 CPI all-items Canada 2002=100,1.1879049676025917
2021-03-01,139.6,StatCan v41690973 CPI all-items Canada 2002=100,1.1819484240687679
2021-04-01,140.3,StatCan v41690973 CPI all-items Canada 2002=100,1.1760513186029935
2021-05-01,141.0,StatCan v41690973 CPI all-items Canada 2002=100,1.1702127659574468
2021-06-01,141.4,StatCan v41690973 CPI all-items Canada 2002=100,1.166902404526167
2021-07-01,142.3,StatCan v41690973 CPI all-items Canada 2002=100,1.1595221363316934
2021-08-01,142.6,StatCan v41690973 CPI all-items Canada 2002=100,1.1570827489481066
2021-09-01,142.9,StatCan v41690973 CPI all-items Canada 2002=100,1.1546536039188242
2021-10-01,143.9,StatCan v41690973 CPI all-items Canada 2002=100,1.1466296038915913
2021-11-01,144.2,StatCan v41690973 CPI all-items Canada 2002=100,1.144244105409154
2021-12-01,144.0,StatCan v41690973 CPI all-items Canada 2002=100,1.1458333333333333
2022-01-01,145.3,StatCan v41690973 CPI all-items Canada 2002=100,1.1355815554026152
2022-02-01,146.8,StatCan v41690973 CPI all-items Canada 2002=100,1.1239782016348774
2022-03-01,148.9,StatCan v41690973 CPI all-items Canada 2002=100,1.1081262592343855
2022-04-01,149.8,StatCan v41690973 CPI all-items Canada 2002=100,1.1014686248331107
2022-05-01,151.9,StatCan v41690973 CPI all-items Canada 2002=100,1.0862409479921
2022-06-01,152.9,StatCan v41690973 CPI all-items Canada 2002=100,1.079136690647482
2022-07-01,153.1,StatCan v41690973 CPI all-items Canada 2002=100,1.077726975832789
2022-08-01,152.6,StatCan v41690973 CPI all-items Canada 2002=100,1.0812581913499346
2022-09-01,152.7,StatCan v41690973 CPI all-items Canada 2002=100,1.0805500982318272
2022-10-01,153.8,StatCan v41690973 CPI all-items Canada 2002=100,1.072821846553966
2022-11-01,154.0,StatCan v41690973 CPI all-items Canada 2002=100,1.0714285714285714
2022-12-01,153.1,StatCan v41690973 CPI all-items Canada 2002=100,1.077726975832789
2023-01-01,153.9,StatCan v41690973 CPI all-items Canada 2002=100,1.0721247563352827
2023-02-01,154.5,StatCan v41690973 CPI all-items Canada 2002=100,1.0679611650485437
2023-03-01,155.3,StatCan v41690973 CPI all-items Canada 2002=100,1.0624597553122987
2023-04-01,156.4,StatCan v41690973 CPI all-items Canada 2002=100,1.0549872122762147
2023-05-01,157.0,StatCan v41690973 CPI all-items Canada 2002=100,1.0509554140127388
2023-06-01,157.2,StatCan v41690973 CPI all-items Canada 2002=100,1.049618320610687
2023-07-01,158.1,StatCan v41690973 CPI all-items Canada 2002=100,1.0436432637571158
2023-08-01,158.7,StatCan v41690973 CPI all-items Canada 2002=100,1.0396975425330814
2023-09-01,158.5,StatCan v41690973 CPI all-items Canada 2002=100,1.0410094637223974
2023-10-01,158.6,StatCan v41690973 CPI all-items Canada 2002=100,1.0403530895334174
2023-11-01,158.8,StatCan v41690973 CPI all-items Canada 2002=100,1.0390428211586902
2023-12-01,158.3,StatCan v41690973 CPI all-items Canada 2002=100,1.0423246999368287
2024-01-01,158.3,StatCan v41690973 CPI all-items Canada 2002=100,1.0423246999368287
2024-02-01,158.8,StatCan v41690973 CPI all-items Canada 2002=100,1.0390428211586902
2024-03-01,159.8,StatCan v41690973 CPI all-items Canada 2002=100,1.032540675844806
2024-04-01,160.6,StatCan v41690973 CPI all-items Canada 2002=100,1.0273972602739727
2024-05-01,161.5,StatCan v41690973 CPI all-items Canada 2002=100,1.021671826625387
2024-06-01,161.4,StatCan v41690973 CPI all-items Canada 2002=100,1.0223048327137547
2024-07-01,162.1,StatCan v41690973 CPI all-items Canada 2002=100,1.0178901912399754
2024-08-01,161.8,StatCan v41690973 CPI all-items Canada 2002=100,1.0197775030902347
2024-09-01,161.1,StatCan v41690973 CPI all-items Canada 2002=100,1.0242085661080076
2024-10-01,161.8,StatCan v41690973 CPI all-items Canada 2002=100,1.0197775030902347
2024-11-01,161.8,StatCan v41690973 CPI all-items Canada 2002=100,1.0197775030902347
2024-12-01,161.2,StatCan v41690973 CPI all-items Canada 2002=100,1.023573200992556
2025-01-01,161.3,StatCan v41690973 CPI all-items Canada 2002=100,1.022938623682579
2025-02-01,163.0,StatCan v41690973 CPI all-items Canada 2002=100,1.0122699386503067
