ID_CARRETA,ano,y_custo_anual,custo_nominal,n_os_ano,n_os_preventivas_ano,custo_preventivo_ano,n_sistemas_vmrs,km_rodado_ano,delta_km_medio_os,km_acumulado_fim_ano,provincia_operacao,ano_modelo,ano_entrada,eixos,comprimento,flag_refrigerado,tailgate_flag,unit_subtype,tire_size,suspension_type,new_used_indicator,cod_montadora,vmrs_predominante,idade_carreta,share_prev,custo_medio_os,custo_acum,n_os_acum,custo_ano_anterior,n_os_ano_anterior,intervalo_medio_os_hist,anos_desde_ultima_os,km_acumulado_defasado
19,2020,100.40524337940025,83.34,1,1,100.40524337940025,1,0.0,,51923.0,,1998.0,1998.0,2.0,53.0,N,N,DS,,SPRING,NEW,MOND,PM,22.0,1.0,100.40524337940025,0.0,0,,,,,
19,2021,611.2569883734359,524.5,2,1,150.6873757801435,2,327.0,163.5,52250.0,,1998.0,1998.0,2.0,53.0,N,N,DS,,SPRING,NEW,MOND,09,23.0,0.2465204957102002,305.62849418671794,100.40524337940025,1,100.40524337940025,1.0,,0.5147159479808351,51923.0
19,2022,101.27608086140239,92.8,2,2,101.27608086140239,1,680.0,340.0,52930.0,Alberta,1998.0,1998.0,2.0,53.0,N,N,DS,,SPRING,NEW,MOND,PM,24.0,1.0,50.638040430701196,711.6622317528361,3,611.2569883734359,2.0,205.41524305555558,0.3887748117727584,52250.0
19,2023,211.8867273274825,201.73,2,1,192.24521738337938,2,81.0,40.5,53011.0,Alberta,1998.0,1998.0,2.0,53.0,N,N,DS,,SPRING,NEW,MOND,PM,25.0,0.9073018390918555,105.94336366374125,812.9383126142385,5,101.27608086140239,2.0,183.45386284722224,0.5037645448323066,52930.0
19,2024,171.4309992566467,167.11,2,0,0.0,2,1175.0,587.5,54186.0,Ontario,1998.0,1998.0,2.0,53.0,N,N,DS,,SPRING,NEW,MOND,02,26.0,0.0,85.71549962832334,1024.8250399417211,7,211.8867273274825,2.0,181.90971643518517,0.5229295003422314,53011.0
19,2025,101.84904869670461,101.34,1,0,0.0,1,0.0,0.0,54186.0,Ontario,1998.0,1998.0,2.0,53.0,N,N,DS,,SPRING,NEW,MOND,02,27.0,0.0,101.84904869670461,1196.2560391983677,9,171.4309992566467,2.0,174.92187065972223,0.6817248459958932,54186.0
46,2020,23.649567165078313,19.63,1,0,0.0,1,0.0,,430790.0,,2000.0,2000.0,2.0,53.0,N,N,DS,11R22.5,SPRING,NEW,TMOBILE,09,20.0,0.0,23.649567165078313,0.0,0,,,,,
46,2021,58.188868311698094,49.93,1,0,0.0,1,461.0,461.0,431251.0,,2000.0,2000.0,2.0,53.0,N,N,DS,11R22.5,SPRING,NEW,TMOBILE,09,21.0,0.0,58.188868311698094,23.649567165078313,1,23.649567165078313,1.0,,0.6680355920602327,430790.0
46,2023,667.611771955689,635.61,2,0,0.0,1,30.0,15.0,431281.0,Alberta,2000.0,2000.0,2.0,53.0,N,N,DS,11R22.5,SPRING,NEW,TMOBILE,01,23.0,0.0,333.8058859778445,81.83843547677641,2,58.188868311698094,1.0,325.51965277777776,1.7768651608487338,431251.0
48,2020,354.27364852587516,294.06,2,2,354.27364852587516,1,17.0,17.0,219914.0,,2000.0,2000.0,2.0,48.0,N,N,DS,11R22.5,AIR,NEW,TMOBILE,PM,20.0,1.0,177.13682426293758,0.0,0,,,,,
