variavel,pearson,spearman,n
custo_medio_os,0.5095,0.7636,47666
n_os_ano,0.7462,0.7453,47666
n_sistemas_vmrs,0.6257,0.6728,47666
custo_ano_anterior,0.5848,0.5309,37807
n_os_ano_anterior,0.5852,0.5209,37807
km_rodado_ano,0.4902,0.4982,47666
custo_acum,0.5487,0.47,47666
n_os_acum,0.535,0.4663,47666
km_acumulado_fim_ano,0.3811,0.4437,47433
intervalo_medio_os_hist,-0.3185,-0.4288,36026
custo_preventivo_ano,0.4722,0.4148,47666
km_acumulado_defasado,0.3273,0.396,37600
anos_desde_ultima_os,-0.1961,-0.2978,37807
share_prev,-0.248,-0.2294,47658
n_os_preventivas_ano,0.184,0.179,47666
comprimento,-0.2315,-0.0967,47031
eixos,0.0914,0.0598,47579
delta_km_medio_os,-0.0486,0.0514,45222
idade_carreta,-0.0516,0.0453,47660
ano_modelo,0.1011,0.0292,47660
