variavel,categoria,freq_abs,freq_rel,y_medio
flag_refrigerado,N,33215,0.6968,1048.22
flag_refrigerado,Y,14451,0.3032,3285.39
tailgate_flag,N,47666,1.0,1726.46
unit_subtype,DS,12249,0.257,1025.23
unit_subtype,DC2,11388,0.2389,1068.72
unit_subtype,DH2,5709,0.1198,804.45
unit_subtype,RHS2,4001,0.0839,2584.1
unit_subtype,RC2,3865,0.0811,4926.61
unit_subtype,HH2,2687,0.0564,1249.12
unit_subtype,RHM2,1810,0.038,4125.44
unit_subtype,DSS,1770,0.0371,1334.74
unit_subtype,SP,732,0.0154,1368.23
unit_subtype,HC3,608,0.0128,5022.32
unit_subtype,DC3,466,0.0098,2084.84
unit_subtype,RHS3,447,0.0094,1989.2
unit_subtype,CH3,314,0.0066,956.2
unit_subtype,HC2,257,0.0054,3514.46
unit_subtype,DH3,252,0.0053,1027.03
tire_size,11R22.5,32020,0.6718,1834.4
tire_size,None,7514,0.1576,1119.81
tire_size,295/75R22.5,3680,0.0772,1480.11
tire_size,295X225,1277,0.0268,973.36
tire_size,275/80R22.5,969,0.0203,3819.72
tire_size,LPX225,625,0.0131,2691.96
tire_size,445/50R22.5,440,0.0092,2221.21
tire_size,455/50R22.5,340,0.0071,1667.73
tire_size,455/55R22.5,318,0.0067,1320.05
tire_size,445/50R225,132,0.0028,1709.94
tire_size,11R245,90,0.0019,1858.39
tire_size,11X225,89,0.0019,2572.15
tire_size,295/80R22.5,71,0.0015,3299.42
tire_size,11R24.5,22,0.0005,1456.88
tire_size,22.5 70R 22.5,18,0.0004,6080.5
suspension_type,AIR,25738,0.54,1683.34
suspension_type,HENDRICKSON,8988,0.1886,2356.03
suspension_type,None,6296,0.1321,1142.91
suspension_type,ANTI DOCK WALK,3531,0.0741,1981.98
suspension_type,SPRING,2121,0.0445,977.42
suspension_type,AUTOMATIC GREASING SYSTEM,481,0.0101,1622.42
suspension_type,HOLLAND,272,0.0057,1150.91
suspension_type,EVELY,173,0.0036,2261.32
suspension_type,HUTCH,64,0.0013,605.67
suspension_type,CHALMERS,2,0.0,643.28
new_used_indicator,NEW,37746,0.7919,1875.51
new_used_indicator,USED,9761,0.2048,1148.22
new_used_indicator,None,159,0.0033,1841.71
cod_montadora,UTLTY,18655,0.3914,2360.29
cod_montadora,STGHTN,9620,0.2018,1129.96
cod_montadora,WABASH,4658,0.0977,1804.39
cod_montadora,MANAC,4637,0.0973,1272.1
cod_montadora,HYUNDAI,3803,0.0798,1648.41
cod_montadora,TMOBILE,2892,0.0607,913.41
cod_montadora,GRTDNE,1617,0.0339,1315.26
cod_montadora,ITD,629,0.0132,1309.31
cod_montadora,MOND,263,0.0055,572.99
cod_montadora,DI-MOND,201,0.0042,1049.32
cod_montadora,VGUARD,188,0.0039,1058.55
cod_montadora,MCHAS,165,0.0035,579.31
cod_montadora,FORD,161,0.0034,1766.11
cod_montadora,TRANSC,61,0.0013,2244.91
cod_montadora,STRICK,37,0.0008,859.21
provincia_operacao,Ontario,24527,0.5146,1902.97
provincia_operacao,nan,16083,0.3374,1125.53
provincia_operacao,Alberta,4783,0.1003,2154.76
provincia_operacao,Quebec,1059,0.0222,2058.41
provincia_operacao,British Columbia,881,0.0185,4255.52
provincia_operacao,New Brunswick,204,0.0043,3796.2
provincia_operacao,Manitoba,72,0.0015,4276.9
provincia_operacao,Nova Scotia,17,0.0004,3737.04
provincia_operacao,Saskatchewan,11,0.0002,3997.93
provincia_operacao,Washington,8,0.0002,3071.9
provincia_operacao,Oregon,4,0.0001,2969.14
provincia_operacao,Michigan,4,0.0001,826.22
provincia_operacao,Connecticut,2,0.0,1225.72
provincia_operacao,California,2,0.0,9778.85
provincia_operacao,Newfoundland and Labrador,2,0.0,5551.06
vmrs_predominante,PM,21044,0.4415,1172.49
vmrs_predominante,01,14267,0.2993,1550.33
vmrs_predominante,09,3491,0.0732,2569.77
vmrs_predominante,10,3355,0.0704,5088.9
vmrs_predominante,02,1350,0.0283,1529.91
vmrs_predominante,04,1348,0.0283,2219.29
vmrs_predominante,03,665,0.014,1218.89
vmrs_predominante,08,631,0.0132,1406.1
vmrs_predominante,05,452,0.0095,1892.86
vmrs_predominante,07,334,0.007,1320.7
vmrs_predominante,14,242,0.0051,2250.19
vmrs_predominante,13,143,0.003,1951.61
vmrs_predominante,06,124,0.0026,1847.94
vmrs_predominante,SC,69,0.0014,1388.5
vmrs_predominante,RQ,57,0.0012,1400.51
