variavel,N,ausentes,media,mediana,desvio_padrao,coef_variacao,Q1,Q3,minimo,maximo,assimetria,curtose
Y_custo_anual,47666,0,1726.464,859.498,2413.835,1.398,348.53,2075.767,-2899.07,62365.614,3.762,27.44
ano_modelo,47660,6,2014.655,2015.0,5.791,0.003,2011.0,2019.0,1982.0,2026.0,-0.441,-0.488
idade_carreta,47660,6,8.265,7.0,5.744,0.695,4.0,12.0,-2.0,39.0,0.494,-0.444
eixos,47579,87,2.077,2.0,0.275,0.132,2.0,2.0,1.0,4.0,3.249,10.14
comprimento,47031,635,52.238,53.0,3.736,0.072,53.0,53.0,28.0,60.0,-4.953,24.313
km_rodado_ano,47666,0,13796.645,8501.5,16431.657,1.191,1421.0,19094.0,0.0,149282.0,1.967,4.881
delta_km_medio_os,45222,2444,6069.416,3579.0,13627.03,2.245,1418.0,6830.875,-508719.333,1014231.5,19.71,1020.951
km_acumulado_fim_ano,47433,233,178557.673,111710.0,198636.818,1.112,40513.0,242587.0,-78620.0,3479389.0,2.187,8.523
km_acumulado_defasado,37600,10066,170696.998,104176.0,193373.116,1.133,37627.25,229912.0,-78620.0,2051521.0,2.106,5.998
n_os_ano,47666,0,4.691,3.0,4.268,0.91,2.0,6.0,1.0,59.0,2.445,9.07
n_os_preventivas_ano,47666,0,0.962,1.0,0.804,0.836,0.0,1.0,0.0,9.0,1.27,3.935
custo_preventivo_ano,47666,0,493.364,225.798,796.251,1.614,0.0,583.675,-1037.982,15201.026,4.164,32.226
share_prev,47658,8,0.418,0.338,0.38,0.91,0.0,0.787,-0.817,1.038,0.339,-1.417
n_sistemas_vmrs,47666,0,2.583,2.0,1.505,0.583,1.0,3.0,1.0,12.0,1.21,1.764
custo_medio_os,47666,0,349.409,252.837,340.374,0.974,148.833,437.796,-579.814,8734.92,4.428,46.918
custo_acum,47666,0,3458.442,1363.076,6055.723,1.751,202.521,3902.082,0.0,123749.905,4.212,29.084
n_os_acum,47666,0,9.884,6.0,13.113,1.327,2.0,13.0,0.0,132.0,2.841,11.148
custo_ano_anterior,37807,9859,1676.206,824.901,2353.878,1.404,334.466,2007.957,-295.108,62365.614,3.846,30.492
n_os_ano_anterior,37807,9859,4.668,3.0,4.259,0.912,2.0,6.0,1.0,59.0,2.466,9.368
intervalo_medio_os_hist,36026,11640,111.371,92.902,85.867,0.771,51.104,151.146,0.0,1411.633,2.47,15.696
anos_desde_ultima_os,37807,9859,0.304,0.194,0.367,1.206,0.085,0.394,0.0,4.928,4.022,27.469
