variavel,importancia,desvio
n_os_ano,0.8774,0.0129
vmrs_predominante,0.0325,0.0018
custo_acum,0.0308,0.0022
unit_subtype,0.028,0.0018
km_acumulado_fim_ano,0.0232,0.0018
km_rodado_ano,0.023,0.0006
provincia_operacao,0.0201,0.0011
idade_carreta,0.0106,0.0009
n_os_acum,0.0098,0.0011
eixos,0.009,0.0011
suspension_type,0.0064,0.0017
delta_km_medio_os,0.0045,0.0007
comprimento,0.0045,0.0006
n_sistemas_vmrs,0.0037,0.0006
custo_ano_anterior,0.0033,0.0007
cod_montadora,0.0028,0.0006
intervalo_medio_os_hist,0.0027,0.0005
n_os_ano_anterior,0.0025,0.0009
new_used_indicator,0.0023,0.0007
n_os_preventivas_ano,0.0023,0.0006
tire_size,0.0007,0.0015
flag_refrigerado,0.0003,0.0002
tailgate_flag,0.0,0.0
anos_desde_ultima_os,-0.0003,0.0007
