variavel,spearman,pearson,VIF,n
custo_medio_os,0.7636,0.5095,1.5391,47666
n_os_ano,0.7453,0.7462,5.1983,47666
n_sistemas_vmrs,0.6728,0.6257,3.0726,47666
custo_ano_anterior,0.5309,0.5848,4.6839,37807
n_os_ano_anterior,0.5209,0.5852,5.8174,37807
km_rodado_ano,0.4982,0.4902,2.5037,47666
custo_acum,0.47,0.5487,8.6846,47666
n_os_acum,0.4663,0.535,9.0761,47666
km_acumulado_fim_ano,0.4437,0.3811,93.5935,47433
intervalo_medio_os_hist,-0.4288,-0.3185,1.4483,36026
custo_preventivo_ano,0.4148,0.4722,2.1881,47666
km_acumulado_defasado,0.396,0.3273,90.4064,37600
anos_desde_ultima_os,-0.2978,-0.1961,1.2228,37807
share_prev,-0.2294,-0.248,2.1517,47658
n_os_preventivas_ano,0.179,0.184,1.8516,47666
comprimento,-0.0967,-0.2315,1.121,47031
eixos,0.0598,0.0914,1.0586,47579
delta_km_medio_os,0.0514,-0.0486,1.8031,45222
idade_carreta,0.0453,-0.0516,10.5092,47660
ano_modelo,0.0292,0.1011,10.2996,47660
