variavel,tipo,decisao
ano_modelo,numérica,"excluída — colinearidade (VIF, redundante com idade_carreta)"
idade_carreta,numérica,selecionada
eixos,numérica,selecionada
comprimento,numérica,selecionada
km_rodado_ano,numérica,excluída — medida no próprio ano (vazamento temporal)
delta_km_medio_os,numérica,excluída — medida no próprio ano (vazamento temporal)
km_acumulado_fim_ano,numérica,excluída — medida no próprio ano (vazamento temporal)
km_acumulado_defasado,numérica,selecionada
n_os_ano,numérica,excluída — medida no próprio ano (vazamento temporal)
n_os_preventivas_ano,numérica,excluída — medida no próprio ano (vazamento temporal)
custo_preventivo_ano,numérica,excluída — derivada de Y (vazamento aritmético)
share_prev,numérica,excluída — derivada de Y (vazamento aritmético)
n_sistemas_vmrs,numérica,excluída — medida no próprio ano (vazamento temporal)
custo_medio_os,numérica,excluída — derivada de Y (vazamento aritmético)
custo_acum,numérica,selecionada
n_os_acum,numérica,selecionada
custo_ano_anterior,numérica,selecionada
n_os_ano_anterior,numérica,selecionada
intervalo_medio_os_hist,numérica,selecionada
anos_desde_ultima_os,numérica,selecionada
flag_refrigerado,categórica,selecionada
tailgate_flag,categórica,selecionada
unit_subtype,categórica,selecionada
tire_size,categórica,selecionada
suspension_type,categórica,selecionada
new_used_indicator,categórica,selecionada
cod_montadora,categórica,selecionada
provincia_operacao,categórica,selecionada
vmrs_predominante,categórica,excluída — medida no próprio ano (vazamento temporal)
