variavel,tipo,status
idade_carreta,numérica,selecionada
eixos,numérica,selecionada
comprimento,numérica,selecionada
km_rodado_ano,numérica,selecionada
delta_km_medio_os,numérica,selecionada
km_acumulado_fim_ano,numérica,selecionada
n_os_ano,numérica,selecionada
n_os_preventivas_ano,numérica,selecionada
n_sistemas_vmrs,numérica,selecionada
custo_acum,numérica,selecionada
n_os_acum,numérica,selecionada
custo_ano_anterior,numérica,selecionada
n_os_ano_anterior,numérica,selecionada
intervalo_medio_os_hist,numérica,selecionada
anos_desde_ultima_os,numérica,selecionada
flag_refrigerado,categórica,selecionada
tailgate_flag,categórica,selecionada
unit_subtype,categórica,selecionada
tire_size,categórica,selecionada
suspension_type,categórica,selecionada
new_used_indicator,categórica,selecionada
cod_montadora,categórica,selecionada
provincia_operacao,categórica,selecionada
vmrs_predominante,categórica,selecionada
