coluna,dtype,pct_preenchido,n_distintos
id_os,int64,100.0,223590
id_carreta,int64,100.0,9859
descricao_carreta,str,100.0,253
cod_montadora,str,99.9,26
ano_modelo,float64,100.0,35
data_entrada_servico,str,100.0,2126
eixos,float64,99.7,4
comprimento,float64,98.5,15
flag_refrigerado,str,100.0,2
tailgate_flag,str,100.0,1
unit_subtype,str,100.0,26
tire_size,str,89.6,24
suspension_type,str,89.3,9
new_used_indicator,str,99.5,2
numero_os,str,100.0,223590
data_os,datetime64[us],100.0,141895
vmrs,str,100.0,33
km_acumulado_data_os,float64,99.4,136774
delta_km_desde_ultima_os,float64,95.0,27399
solicitacao_reparo,str,63.8,106764
cod_local_os,str,100.0,10
endereco_os,str,99.4,24351
cod_provincia_estado,str,53.9,41
provincia_estado,str,53.9,41
total_custo_interno,float64,100.0,74484
