,pct_ausente
provincia_estado,46.09
cod_provincia_estado,46.09
solicitacao_reparo,36.69
franquia_km_mensal_contrato,28.38
cod_cliente,22.76
suspension_type,10.89
tire_size,8.89
tipo_manutencao,7.48
tempo_contrato_meses_ate_reparo,7.48
delta_km_desde_ultima_os,5.02
comprimento,1.59
endereco_os,0.65
km,0.62
km_acumulado_data_os,0.62
new_used_indicator,0.55
eixos,0.31
cod_montadora,0.06
ano_modelo,0.02
data_entrada_servico,0.02
id_os,0.0
id_carreta,0.0
descricao_carreta,0.0
unit_subtype,0.0
tailgate_flag,0.0
flag_refrigerado,0.0
data_os,0.0
vmrs,0.0
numero_os,0.0
cod_local_os,0.0
total_custo_interno,0.0
