id_os,tem_linha_preventiva,tem_linha_nao_preventiva,linhas_mao_obra,os_preventiva_mista
76287834,False,True,1,False
100209853,False,True,3,False
100602562,True,True,7,True
100672984,False,True,1,False
100677191,False,True,2,False
100678183,True,True,5,True
100679330,True,True,5,True
100679468,False,True,3,False
100680076,True,True,2,True
100681796,False,True,3,False
100682347,False,True,2,False
100683295,True,True,2,True
100683498,True,True,2,True
100683885,True,True,5,True
100685128,True,True,4,True
100685503,True,False,1,False
100685575,False,True,1,False
100685598,False,True,2,False
100685643,False,True,1,False
100685772,True,False,1,False
100685830,True,True,2,True
100685938,False,True,1,False
100686520,False,True,1,False
100686566,False,True,4,False
100686673,True,True,3,True
100686755,True,True,3,True
100687131,True,False,1,False
100687518,True,True,9,True
100687626,True,True,2,True
100687732,False,True,3,False
100688177,True,True,7,True
100688239,False,True,1,False
100689333,True,True,9,True
100689356,False,True,1,False
100689408,True,False,1,False
100689514,True,True,6,True
100689628,True,True,2,True
100689641,True,True,2,True
100689649,False,True,3,False
100689930,True,True,3,True
100690183,True,True,7,True
100690294,True,True,5,True
100690322,True,False,1,False
100690550,False,True,2,False
100690942,False,True,1,False
100691745,True,False,1,False
100691865,True,False,1,False
100691969,False,True,4,False
100692030,True,True,11,True
100692300,True,True,2,True
100692321,True,False,1,False
100692540,True,True,2,True
100692676,True,True,4,True
100692731,True,True,4,True
100693632,True,True,4,True
100693695,False,True,1,False
100693737,True,True,7,True
100693787,True,True,7,True
100693797,False,True,1,False
100693851,False,True,1,False
100693910,False,True,1,False
100693962,False,True,1,False
100694376,False,True,1,False
100696345,True,False,1,False
100698194,False,True,1,False
100699125,False,True,3,False
100699502,False,True,1,False
100699614,True,True,4,True
100700414,False,True,4,False
100700530,True,True,6,True
100700761,True,True,6,True
100700776,False,True,1,False
100701175,False,True,1,False
100701372,True,True,2,True
100701400,False,True,2,False
100701406,True,True,4,True
100701908,False,True,1,False
100701930,True,False,1,False
100703075,True,False,1,False
100704492,True,True,2,True
100704842,False,True,2,False
100706690,True,True,2,True
100706715,False,True,4,False
100707338,False,True,1,False
100707929,True,True,3,True
100707992,True,True,4,True
100708808,False,True,1,False
100710099,True,True,4,True
100710952,True,True,2,True
100712378,True,True,6,True
100712390,True,True,4,True
100713379,False,True,3,False
100714012,True,True,3,True
100714066,True,False,1,False
100718826,True,True,10,True
100719124,True,True,5,True
100720033,True,True,4,True
100720229,False,True,1,False
100735173,True,True,4,True
100735318,True,True,6,True
100736234,True,True,7,True
100736469,False,True,5,False
100737265,False,True,1,False
100738005,False,True,1,False
100738773,True,False,1,False
100739412,False,True,1,False
100739924,True,True,4,True
100741416,False,True,2,False
100743298,True,True,9,True
100748569,True,False,1,False
100749789,False,True,2,False
100749805,True,True,6,True
100750267,False,True,2,False
100750647,False,True,1,False
100750711,True,True,8,True
100751108,True,True,3,True
100751512,True,True,2,True
100752459,False,True,1,False
100752754,False,True,4,False
100752875,False,True,3,False
100753524,True,False,1,False
100753640,True,False,1,False
100753718,True,True,11,True
100753941,True,True,5,True
100753982,False,True,1,False
100754395,False,True,1,False
100754680,False,True,1,False
100756198,True,False,2,False
100757300,False,True,1,False
100758234,True,False,1,False
100760876,True,True,4,True
100761162,True,True,3,True
100761607,True,False,1,False
100761767,True,True,6,True
100762009,False,True,2,False
100762306,False,True,3,False
100762347,True,True,3,True
100762786,True,False,1,False
100764456,False,True,1,False
100764518,True,True,3,True
100764848,True,False,1,False
100766719,True,True,2,True
100766756,True,True,4,True
100766771,True,True,2,True
100766809,False,True,1,False
100767535,False,True,3,False
100768193,False,True,2,False
100768809,True,True,3,True
100769130,True,False,2,False
100769330,True,True,2,True
100769874,True,True,5,True
100769949,False,True,1,False
100772370,False,True,5,False
100772925,True,True,3,True
100773909,True,True,3,True
100776110,False,True,3,False
100776588,False,True,1,False
100776874,True,True,5,True
100777121,False,True,3,False
100777146,True,False,1,False
100777609,True,True,3,True
100778284,True,True,5,True
100779196,True,True,7,True
100781977,False,True,1,False
100782572,False,True,2,False
100783866,True,True,3,True
100784328,True,True,3,True
100784751,True,True,10,True
100785404,True,False,1,False
100785828,False,True,3,False
100786101,True,True,2,True
100786153,True,True,2,True
100788256,True,True,3,True
100789109,False,True,4,False
100789517,True,True,6,True
100789568,True,False,1,False
100790609,True,True,4,True
100791263,True,True,8,True
100791276,True,True,4,True
100791995,True,True,3,True
100792905,True,True,8,True
100793100,False,True,1,False
100794952,False,True,1,False
100795854,False,True,3,False
100803029,True,True,4,True
100804123,True,True,4,True
100805045,True,False,1,False
100805135,True,True,3,True
100805269,True,True,2,True
100810671,True,True,4,True
100812792,True,True,4,True
100813261,True,True,4,True
100817754,True,True,5,True
100818308,True,True,6,True
100818328,False,True,1,False
100818354,False,True,2,False
100818363,False,True,3,False
100818385,False,True,2,False
100818572,True,True,8,True
100818851,True,True,5,True
100818870,True,True,2,True
100821119,True,True,5,True
100824060,True,True,3,True
100824283,True,True,2,True
100824487,True,True,4,True
100824527,False,True,3,False
100824664,False,True,5,False
100824770,False,True,2,False
100825295,True,True,2,True
100826990,False,True,2,False
