,spearman_ocorrencia
custo_manutencao_preventiva_por_km,0.9915489062747651
custo_manutencao_interno_por_km,0.7142296534166906
custo_preventivo_total_mes,0.9915489179596614
custo_total_mes,0.7049252461546345
km_rodado_mes,0.0812935676933366
idade_carreta,-0.06777022315083393
km_rodado_acum,0.10364163953868696
custo_acum_manutencao,0.060977109886778194
custo_preventivo_acum,0.047171551899528506
n_os_acum,0.10364280385112591
n_os_preventivas_acum,0.1116392571826375
custo_medio_movel_3m,-0.046197752592387994
custo_preventivo_medio_movel_3m,-0.1231462235270418
intervalo_medio_os,-0.141399278534133
meses_desde_ultima_os,0.049716035547099725
franquia_km_mensal,-0.005311974253774445
duracao_contrato_meses,0.02931676849280243
idade_contrato_meses_no_mes,0.03230222929506525
prop_pecas_garantia,-0.001472004620776846
