,custo_manutencao_preventiva_por_km,custo_manutencao_interno_por_km,custo_preventivo_total_mes,custo_total_mes,km_rodado_mes,idade_carreta,km_rodado_acum,custo_acum_manutencao,custo_preventivo_acum,n_os_acum,n_os_preventivas_acum,custo_medio_movel_3m,custo_preventivo_medio_movel_3m,intervalo_medio_os,meses_desde_ultima_os,franquia_km_mensal,duracao_contrato_meses,idade_contrato_meses_no_mes,prop_pecas_garantia
custo_manutencao_preventiva_por_km,1.0,0.7277918206465663,0.9967485559829778,0.712611526703273,0.04763285937974469,-0.04443310289024827,0.09530221556167881,0.06265856882656792,0.048765467172200906,0.10127228197184854,0.10796075189102289,-0.05584088774162538,-0.13284899690273783,-0.12570016662587594,0.06000293448845301,-0.004398087255716323,0.026584749020967552,0.03659880400313398,0.007048513645362777
custo_manutencao_interno_por_km,0.7277918206465663,1.0,0.7238696848541551,0.9901841425603451,0.10049040835606933,0.03472973542819984,0.17812647292804487,0.18818660014792726,0.15710766592443492,0.21135798797628969,0.18223418394410576,0.06969253595603891,-0.03534398603764786,-0.19676502637252144,-0.04795913756215645,-0.003864700986298213,0.016059547211873786,0.04809194722271901,0.017913072472241526
custo_preventivo_total_mes,0.9967485559829778,0.7238696848541551,1.0,0.7168523416710806,0.079349225281258,-0.05248436915378246,0.11204688207848897,0.07223358514967025,0.056518033394048504,0.11106408097821348,0.11545347980693171,-0.04526318366773819,-0.12650546797545265,-0.13824947864628664,0.05074996388666612,-0.004808852363580028,0.024294905198065837,0.03387770735008937,0.010490851145997088
custo_total_mes,0.712611526703273,0.9901841425603451,0.7168523416710806,1.0,0.17495635344525778,0.014129200202174544,0.2183491002495904,0.2127827618447956,0.1774764468362447,0.237132710853582,0.2023528408537314,0.09762679933169598,-0.017270317424847522,-0.231176890307398,-0.07118375262045208,-0.00488689570421807,0.015214182945238743,0.044914692193478115,0.02455329134244806
km_rodado_mes,0.04763285937974469,0.10049040835606933,0.079349225281258,0.17495635344525778,1.0,-0.2865661932236702,0.5109993856276476,0.252252982436894,0.21103194545112328,0.2863902861543289,0.24148908814411849,0.2792881802888223,0.18166686762735473,-0.43807211166001236,-0.24634171007368452,-0.011165672017021814,-0.04440518403804903,-0.09877865028386919,0.004263442762541626
idade_carreta,-0.04443310289024827,0.03472973542819984,-0.05248436915378246,0.014129200202174544,-0.2865661932236702,1.0,0.057613931023142495,0.4288505208890172,0.403378543211413,0.2968319359439273,0.18006474613114162,0.07649406303985663,-0.03250752240714975,0.1107476247874723,0.04552493792327225,0.0290057976997498,-0.06792790571203083,0.2222474861747484,-0.00107542013014077
km_rodado_acum,0.09530221556167881,0.17812647292804487,0.11204688207848897,0.2183491002495904,0.5109993856276476,0.057613931023142495,1.0,0.7347136462254822,0.7142690182748453,0.8070247882153675,0.7713950641747357,0.3296698718318681,0.19945223634506956,-0.25031635028011834,-0.21356173328613412,0.00845919634222474,-0.04018437462987664,0.18276407612617976,0.014783445643872538
custo_acum_manutencao,0.06265856882656792,0.18818660014792726,0.07223358514967025,0.2127827618447956,0.252252982436894,0.4288505208890172,0.7347136462254822,1.0,0.9199689892337446,0.8976441866223659,0.768677908567579,0.470221901166878,0.26319486585233215,-0.3442821198046205,-0.2823530766013839,0.013761080799557346,-0.1181348194939634,0.16932572112652347,0.011582929699868726
custo_preventivo_acum,0.048765467172200906,0.15710766592443492,0.056518033394048504,0.1774764468362447,0.21103194545112328,0.403378543211413,0.7142690182748453,0.9199689892337446,1.0,0.8451278845273077,0.8044527938096214,0.4123459129242634,0.3002788735625504,-0.2354324439788924,-0.24686343457011423,0.009070842474476601,-0.11418096902888862,0.18297319524329184,0.013076944357847411
n_os_acum,0.10127228197184854,0.21135798797628969,0.11106408097821348,0.237132710853582,0.2863902861543289,0.2968319359439273,0.8070247882153675,0.8976441866223659,0.8451278845273077,1.0,0.9174056458137854,0.4491221481472389,0.28336863953658176,-0.39393689546416105,-0.33961714685751326,0.011146810775468906,-0.056672768623265195,0.21329597344178355,0.01280944155312825
