,custo_manutencao_preventiva_por_km,custo_manutencao_interno_por_km,custo_preventivo_total_mes,custo_total_mes,km_rodado_mes,idade_carreta,km_rodado_acum,custo_acum_manutencao,custo_preventivo_acum,n_os_acum,n_os_preventivas_acum,custo_medio_movel_3m,custo_preventivo_medio_movel_3m,intervalo_medio_os,meses_desde_ultima_os,franquia_km_mensal,duracao_contrato_meses,idade_contrato_meses_no_mes,prop_pecas_garantia
custo_manutencao_preventiva_por_km,1.0,0.8579224947319064,0.8064130743331159,0.6064529316958731,-0.5717375655905571,0.35355528739204145,-0.1279590868913949,0.03502382118754339,0.032503927727687704,-0.02727102511250542,-0.04630048866805698,-0.17239952692496113,-0.20478469444451788,0.260730471792418,0.1929351443115615,0.018535518866957604,-0.03835464833519931,0.08402565282395072,0.02017227087331357
custo_manutencao_interno_por_km,0.8579224947319064,1.0,0.685144287601713,0.8079926591547386,-0.5012531260881121,0.4107996059229853,-0.03513814520764446,0.14860739270471088,0.13053779351789366,0.08303247791246399,0.04178912213059089,-0.07480131960049385,-0.13937588711183194,0.1654578190222681,0.10735827309807244,0.01848356076330322,-0.045834009299936015,0.10601557790473595,0.022986458509807822
custo_preventivo_total_mes,0.8064130743331159,0.685144287601713,1.0,0.796052047808535,-0.020050078281085876,0.22901328716134084,0.16102509691120595,0.19269827192482258,0.16170243888444363,0.13634004700716418,0.07727693527178194,0.006179562279310802,-0.08474115334932815,0.035167243668906584,0.02771629438005077,0.00974093316527454,-0.08094077413085574,0.03355309309198751,0.028536828036532968
custo_total_mes,0.6064529316958731,0.8079926591547386,0.796052047808535,1.0,0.06831953247278681,0.2847131155631316,0.27204906414019503,0.3309482529951404,0.28285618213818053,0.27490783912044314,0.19120774316624947,0.13413331632731962,0.005261687257508507,-0.09744098142559633,-0.08768948529548469,0.009383677159811178,-0.08505736942832497,0.06047003942298105,0.030847071112031315
km_rodado_mes,-0.5717375655905571,-0.5012531260881121,-0.020050078281085876,0.06831953247278681,1.0,-0.2957554130094861,0.4819469457601593,0.23776053106252162,0.19888341214423635,0.27145689169812204,0.21669067608986328,0.33190812600322744,0.2498496199670285,-0.43818025154208773,-0.3158967572809124,-0.02002332808467585,-0.03772404118641749,-0.08678579395807882,0.005453788831181139
idade_carreta,0.35355528739204145,0.4107996059229853,0.22901328716134084,0.2847131155631316,-0.2957554130094861,1.0,0.13774265181447157,0.5098984182830928,0.4817153401668292,0.4017890329156127,0.3189951318381899,0.11382951056064698,-0.01616307572324148,0.03528578569279822,-0.0011372122904760235,0.025622852090289187,-0.03769597839611903,0.2824980368397592,0.0074644105787206065
km_rodado_acum,-0.1279590868913949,-0.03513814520764446,0.16102509691120595,0.27204906414019503,0.4819469457601593,0.13774265181447157,1.0,0.7644083551213948,0.7537429058304006,0.8285271638096785,0.7883116202353904,0.41016334458499787,0.27422435302239684,-0.3025568482982917,-0.3218819597805919,0.002263619038740066,-0.0841759879844392,0.18462645567808425,0.016256491741646523
custo_acum_manutencao,0.03502382118754339,0.14860739270471088,0.19269827192482258,0.3309482529951404,0.23776053106252162,0.5098984182830928,0.7644083551213948,1.0,0.9288729552212692,0.9220127069559341,0.8113781648202322,0.5278600006628866,0.31545097892364354,-0.42590422472886075,-0.37995901804643856,0.00437706327242311,-0.11613108743345879,0.20893859342610643,0.01369966495791692
custo_preventivo_acum,0.032503927727687704,0.13053779351789366,0.16170243888444363,0.28285618213818053,0.19888341214423635,0.4817153401668292,0.7537429058304006,0.9288729552212692,1.0,0.8805968647591473,0.8483701609016746,0.44910624993656534,0.3299813998250836,-0.3094205043378923,-0.31961730623447165,0.000617168774860426,-0.1351367765096253,0.20924329226105243,0.016462722934024746
n_os_acum,-0.02727102511250542,0.08303247791246399,0.13634004700716418,0.27490783912044314,0.27145689169812204,0.4017890329156127,0.8285271638096785,0.9220127069559341,0.8805968647591473,1.0,0.929288931157523,0.5211797750889938,0.3563335632419739,-0.45349981639999287,-0.43342275925016216,0.001179685803838133,-0.0798328660486734,0.23505811218070466,0.014579679271569003
n_os_preventivas_acum,-0.04630048866805698,0.04178912213059089,0.07727693527178194,0.19120774316624947,0.21669067608986328,0.3189951318381899,0.7883116202353904,0.8113781648202322,0.8483701609016746,0.929288931157523,1.0,0.4388282759291427,0.38816287181502557,-0.3122659107689789,-0.3708566107843794,-0.0008354258077673564,-0.08000620388094822,0.2463842044095154,0.010609754280288606
custo_medio_movel_3m,-0.17239952692496113,-0.07480131960049385,0.006179562279310802,0.13413331632731962,0.33190812600322744,0.11382951056064698,0.41016334458499787,0.5278600006628866,0.44910624993656534,0.5211797750889938,0.4388282759291427,1.0,0.6728158882591504,-0.4689749538387846,-0.7924876135648214,-0.0070823215980530966,-0.01883392259796457,0.0674738873272901,0.008364479349255785
custo_preventivo_medio_movel_3m,-0.20478469444451788,-0.13937588711183194,-0.08474115334932815,0.005261687257508507,0.2498496199670285,-0.01616307572324148,0.27422435302239684,0.31545097892364354,0.3299813998250836,0.3563335632419739,0.38816287181502557,0.6728158882591504,1.0,-0.35639318507795625,-0.5483975738978688,-0.006937995275713257,-0.02343501592684955,0.02847125553368198,-0.0006313556328521394
intervalo_medio_os,0.260730471792418,0.1654578190222681,0.035167243668906584,-0.09744098142559633,-0.43818025154208773,0.03528578569279822,-0.3025568482982917,-0.42590422472886075,-0.3094205043378923,-0.45349981639999287,-0.3122659107689789,-0.4689749538387846,-0.35639318507795625,1.0,0.40197670271370906,0.008073463738140082,0.05800411867513294,0.1282719220875356,-0.003184673164336413
meses_desde_ultima_os,0.1929351443115615,0.10735827309807244,0.02771629438005077,-0.08768948529548469,-0.3158967572809124,-0.0011372122904760235,-0.3218819597805919,-0.37995901804643856,-0.31961730623447165,-0.43342275925016216,-0.3708566107843794,-0.7924876135648214,-0.5483975738978688,0.40197670271370906,1.0,0.009889874062326274,-0.008266405678563637,-0.02828998728414219,-0.005551491549618798
franquia_km_mensal,0.018535518866957604,0.01848356076330322,0.00974093316527454,0.009383677159811178,-0.02002332808467585,0.025622852090289187,0.002263619038740066,0.00437706327242311,0.000617168774860426,0.001179685803838133,-0.0008354258077673564,-0.0070823215980530966,-0.006937995275713257,0.008073463738140082,0.009889874062326274,1.0,-0.03163967591044901,-0.024425545732100554,-0.000611423044763418
duracao_contrato_meses,-0.03835464833519931,-0.045834009299936015,-0.08094077413085574,-0.08505736942832497,-0.03772404118641749,-0.03769597839611903,-0.0841759879844392,-0.11613108743345879,-0.1351367765096253,-0.0798328660486734,-0.08000620388094822,-0.01883392259796457,-0.02343501592684955,0.05800411867513294,-0.008266405678563637,-0.03163967591044901,1.0,0.7605443286126479,-0.004609146977394482
idade_contrato_meses_no_mes,0.08402565282395072,0.10601557790473595,0.03355309309198751,0.06047003942298105,-0.08678579395807882,0.2824980368397592,0.18462645567808425,0.20893859342610643,0.20924329226105243,0.23505811218070466,0.2463842044095154,0.0674738873272901,0.02847125553368198,0.1282719220875356,-0.02828998728414219,-0.024425545732100554,0.7605443286126479,1.0,-0.001041350424680268
