cod_sistema_vmrs,sistema_vmrs,custo_mao_obra,linhas,share_custo
10,REEFER,7387141.01,100901,0.179734171684515
PM,PREVENTIVE MAINTENANCE,6325427.87,127684,0.1539019679231216
04,BRAKES,5832032.32,102478,0.14189731817133952
09,TIRES AND ACCESSORIES (ATA 017),3986139.37,59780,0.09698548557772617
02,AIR EQUIPMENT,2775044.4,63288,0.06751872015798327
SC,SERVICE CALL,2759420.72,46353,0.06713858538329
01,MISCELLANEOUS,2578598.07,45222,0.06273904716200064
08,EXTERIOR BODY,1855732.82,47431,0.04515124333202206
03,LIGHTS AND WIRING,1841576.56,41944,0.04480681188529506
06,BOGIE,1324337.6,18232,0.03222203572998515
FS,FUEL SURCHARGE,1159681.14,37507,0.028215831921158098
14,ABS,922587.13,16213,0.022447173188229686
07,DOORS,765256.82,19451,0.01861921959827676
05,LANDING GEAR,608435.88,12186,0.014803659327323302
13,INTERIOR BODY,447418.11,5935,0.010885987324276246
MC,MILEAGE CHARGE,183708.44,1203,0.004469751457317102
12,LIFT GATE,108594.26,1051,0.0026421723024335313
CL,CLEAN & SWEEP INTERIOR,107468.99,2145,0.002614793716983809
17,GPS SYSTEMS,58138.23,3463,0.0014145427301453153
AH,AFTER HOURS,21927.09,107,0.0005335010328443442
TR,TRACTOR,18093.7,344,0.0004402320434665846
RS,REMOVE SNOW FROM ROOF,17348.52,78,0.0004221013065719511
SS,SUBLET SURCHARGE,10518.94,6446,0.0002559329739800259
SH,SHOP,5583.52,359,0.00013585084417982746
11,LOGISTICS,158.78,7,3.8632255349444445e-06
