variavel,faixa,observacoes,taxa_ocorrencia
idade_carreta,"(-0.001, 2.675]",41973,0.23767660162485407
idade_carreta,"(2.675, 4.498]",41991,0.24807696887428257
idade_carreta,"(4.498, 6.385]",41980,0.2420914721295855
idade_carreta,"(6.385, 9.656]",41945,0.22643938490880916
idade_carreta,"(9.656, 27.863]",41954,0.15419268722886972
km_rodado_mes,"(500.0, 865.113]",66554,0.1584427682783905
km_rodado_mes,"(865.113, 1432.773]",66550,0.1753268219383922
km_rodado_mes,"(1432.773, 2518.664]",66551,0.20624784000240418
km_rodado_mes,"(2518.664, 4263.396]",66550,0.22365138993238168
km_rodado_mes,"(4263.396, 108359.49]",66551,0.24735916815675196
duracao_contrato_meses,"(-0.001, 35.877]",66570,0.1808622502628812
duracao_contrato_meses,"(35.877, 55.984]",75093,0.16191922016699292
duracao_contrato_meses,"(55.984, 64.099]",57992,0.26693337012001656
duracao_contrato_meses,"(64.099, 83.614]",66667,0.23353383233083835
duracao_contrato_meses,"(83.614, 210.99]",66434,0.1811873438299666
custo_preventivo_acum,"(-537.8109999999999, 186.13]",66562,0.1956671975000751
custo_preventivo_acum,"(186.13, 468.15]",66543,0.17046120553626978
custo_preventivo_acum,"(468.15, 963.23]",66550,0.18901577761081895
custo_preventivo_acum,"(963.23, 2124.7]",66551,0.20687893495214196
custo_preventivo_acum,"(2124.7, 25422.82]",66550,0.2490007513148009
