variavel,papel,N,media,mediana,desvio_padrao,cv,min,Q1,Q3,max,assimetria,curtose,pct_ausente
custo_ano_real,Y,49248,1673.724,812.55,2400.748,1.434,0.0,317.209,2008.971,62230.924,3.786,27.597,0.0
ano_modelo,explicativa,49242,2014.545,2015.0,5.887,0.003,1982.0,2011.0,2019.0,2026.0,-0.434,-0.517,0.01
eixos,explicativa,49157,2.078,2.0,0.276,0.133,1.0,2.0,2.0,4.0,3.226,9.943,0.18
comprimento,explicativa,48588,52.256,53.0,3.686,0.071,28.0,53.0,53.0,60.0,-5.024,25.089,1.34
idade_carreta,explicativa,49242,8.384,7.0,5.791,0.691,0.0,4.0,13.0,39.0,0.507,-0.485,0.01
km_acumulado_fim_ano,explicativa,48976,178122.519,111110.5,199147.442,1.118,0.0,39009.25,243083.25,3479389.0,2.165,8.286,0.55
km_rodado_ano,explicativa,39076,23689.68,12698.5,29090.836,1.228,0.0,4406.5,34116.75,249676.0,2.358,7.927,20.65
n_sistemas_vmrs_distintos_ano,explicativa,49248,2.5,2.0,1.549,0.62,0.0,1.0,3.0,12.0,1.086,1.57,0.0
share_pm_ano,explicativa,49248,0.325,0.25,0.333,1.024,0.0,0.0,0.5,1.0,0.93,-0.269,0.0
n_os_ano,componente de Y,49248,4.536,3.0,4.275,0.942,0.0,2.0,6.0,59.0,2.411,8.936,0.0
custo_medio_por_os_ano,componente de Y,49248,339.18,244.318,354.068,1.044,0.0,139.756,429.276,19177.732,7.321,211.559,0.0
n_os_ano_anterior,explicativa,39389,4.476,3.0,4.267,0.953,0.0,2.0,6.0,59.0,2.425,9.199,20.02
n_os_acum_ate_ano_anterior,explicativa,49248,9.684,6.0,12.955,1.338,0.0,2.0,12.0,131.0,2.89,11.528,0.0
anos_ativo_ate_ano_anterior,explicativa,49248,2.258,2.0,1.68,0.744,0.0,1.0,4.0,5.0,0.17,-1.207,0.0
custo_ano_anterior,explicativa,39389,1610.857,765.398,2334.785,1.449,0.0,299.412,1925.394,62230.924,3.878,30.748,20.02
custo_acum_ate_ano_anterior,explicativa,49248,3402.821,1343.059,5992.338,1.761,0.0,208.929,3823.372,123769.413,4.264,29.774,0.0
