variavel,n_categorias,F_anova,p_valor,eta2,eta
descricao_carreta,248,139.91,0.0,0.3502,0.5918
unit_subtype,26,800.94,0.0,0.2957,0.5438
flag_refrigerado,2,10492.17,0.0,0.1803,0.4246
vmrs_predominante_ano,23,336.6,0.0,0.1127,0.3357
cod_montadora,26,126.96,0.0,0.053,0.2301
tipo_manutencao_ano,5,412.4,0.0,0.0334,0.1828
suspension_type,8,119.68,0.0,0.0198,0.1409
provincia_estado,24,95.24,0.0,0.0196,0.1399
tire_size,24,29.71,0.0,0.0156,0.125
new_used_indicator,2,632.48,0.0,0.0131,0.1146
regiao_operacao,10,34.56,0.0,0.0058,0.0759
