variavel,categoria,n,pct
cod_montadora,UTLTY,157845,0.44837489134695685
cod_montadora,STGHTN,64217,0.18241496656610934
cod_montadora,HYUNDAI,36437,0.10350303092279811
cod_montadora,MANAC,36341,0.10323033308904152
cod_montadora,WABASH,30382,0.08630318317908862
cod_montadora,TMOBILE,9033,0.02565916179503349
cod_montadora,GRTDNE,7454,0.021173850550224693
cod_montadora,ITD,5249,0.014910322181128173
cod_montadora,MCHAS,1494,0.004243860037836824
cod_montadora,FORD,1085,0.003082053641936382
cod_montadora,VGUARD,1055,0.0029968355688874495
cod_montadora,DI-MOND,470,0.0013350831444332715
cod_montadora,TRANSC,424,0.0012044154324249087
cod_montadora,MOND,154,0.00043745277498451874
cod_montadora,SEM_INFORMACAO,107,0.00030394446054119156
cod_montadora,STRICK,104,0.0002954226532362984
cod_montadora,VLVNA,74,0.00021020458018736614
cod_montadora,FREIGHTLINER,62,0.00017611735096779326
cod_montadora,INTRNTL,31,8.805867548389663e-05
cod_montadora,GMC,11,3.124662678460848e-05
cod_montadora,MONON,7,1.988421704475085e-05
cod_montadora,CHEVROLET,2,5.6812048699288145e-06
flag_refrigerado,N,211989,0.6021764695856697
flag_refrigerado,Y,140049,0.3978235304143303
tipo_contrato,LEASE,315455,0.8960822411216971
tipo_contrato,RENTAL,34781,0.09879899329049704
tipo_contrato,SEM_INFORMACAO,1802,0.005118765587805862
tipo_manutencao,MAINT,332731,0.9451564887881422
tipo_manutencao,NET,11661,0.033124264994119954
tipo_manutencao,MIX,5844,0.016600480629931996
tipo_manutencao,SEM_INFORMACAO,1802,0.005118765587805862
cod_grupo_manutencao,SEM_INFORMACAO,348126,0.9888875632744193
cod_grupo_manutencao,C4,3317,0.009422278276776939
cod_grupo_manutencao,C2,151,0.0004289309676796255
cod_grupo_manutencao,TR1,69,0.0001960015680125441
cod_grupo_manutencao,C1,60,0.00017043614609786443
cod_grupo_manutencao,C3,59,0.00016759554366290003
cod_grupo_manutencao,NOPM,55,0.0001562331339230424
cod_grupo_manutencao,DEAD,54,0.000153392531488078
cod_grupo_manutencao,TR3,54,0.000153392531488078
cod_grupo_manutencao,STR-2,51,0.00014487072418318476
cod_grupo_manutencao,WMC4,42,0.0001193053022685051
regiao_operacao,MIS,139520,0.3963208517262341
regiao_operacao,Ontario,118650,0.3370374789085269
regiao_operacao,Alberta,26696,0.07583272260380981
regiao_operacao,CORNWALL,18566,0.052738624807549185
regiao_operacao,CALGARY,16591,0.04712843499849448
regiao_operacao,Quebec,7170,0.0203671194586948
regiao_operacao,SEM_INFORMACAO,6339,0.018006578835239376
regiao_operacao,DELTA,5634,0.01600395411858947
regiao_operacao,British Columbia,5108,0.014509797237798192
regiao_operacao,EDMONTON,3670,0.010425010936319375
regiao_operacao,New Brunswick,2244,0.0063743118640601296
regiao_operacao,Manitoba,548,0.001556650134360495
regiao_operacao,Nova Scotia,242,0.0006874257892613866
regiao_operacao,WOODSTOCK,239,0.0006789039819564933
regiao_operacao,LANGLEY,220,0.0006249325356921696
regiao_operacao,BALZAC,152,0.0004317715701145899
regiao_operacao,CALCANTIRE,120,0.00034087229219572886
regiao_operacao,Saskatchewan,88,0.00024997301427686784
regiao_operacao,Washington,36,0.00010226168765871867
regiao_operacao,Michigan,27,7.6696265744039e-05
regiao_operacao,California,25,7.101506087411018e-05
regiao_operacao,Colorado,22,6.249325356921696e-05
regiao_operacao,Oregon,21,5.965265113425255e-05
regiao_operacao,New York,20,5.6812048699288143e-05
regiao_operacao,Nunavut,11,3.124662678460848e-05
regiao_operacao,Missouri,10,2.8406024349644072e-05
regiao_operacao,Mississippi,8,2.2724819479715258e-05
regiao_operacao,Prince Edward Island,7,1.988421704475085e-05
regiao_operacao,Idaho,6,1.7043614609786444e-05
regiao_operacao,Nebraska,6,1.7043614609786444e-05
regiao_operacao,Wyoming,6,1.7043614609786444e-05
regiao_operacao,Maine,6,1.7043614609786444e-05
regiao_operacao,Ohio,5,1.4203012174822036e-05
regiao_operacao,New Jersey,4,1.1362409739857629e-05
regiao_operacao,Pennsylvania,3,8.521807304893222e-06
regiao_operacao,Georgia,3,8.521807304893222e-06
regiao_operacao,Texas,3,8.521807304893222e-06
regiao_operacao,Montana,2,5.6812048699288145e-06
regiao_operacao,Illinois,2,5.6812048699288145e-06
regiao_operacao,Kentucky,2,5.6812048699288145e-06
regiao_operacao,North Dakota,1,2.8406024349644073e-06
regiao_operacao,Alaska,1,2.8406024349644073e-06
regiao_operacao,Arizona,1,2.8406024349644073e-06
regiao_operacao,Wisconsin,1,2.8406024349644073e-06
regiao_operacao,Arkansas,1,2.8406024349644073e-06
regiao_operacao,Newfoundland and Labrador,1,2.8406024349644073e-06
cod_classe,HIGHWAY,146823,0.41706577130877914
cod_classe,GOODSTORAGE,102330,0.2906788471699078
cod_classe,CITY,99146,0.28163436901698113
cod_classe,SEM_INFORMACAO,2053,0.005831756798981928
cod_classe,DEADSTORAGE,1686,0.00478925570534999
