variavel,tipo,forca,papel
custo_medio_por_os_ano,quantitativa (|Spearman|),0.786,componente de Y
n_os_ano,quantitativa (|Spearman|),0.769,componente de Y
n_sistemas_vmrs_distintos_ano,quantitativa (|Spearman|),0.704,explicativa
descricao_carreta,categorica (eta),0.5947,explicativa
unit_subtype,categorica (eta),0.5505,explicativa
n_os_ano_anterior,quantitativa (|Spearman|),0.54,explicativa
custo_ano_anterior,quantitativa (|Spearman|),0.536,explicativa
km_rodado_ano,quantitativa (|Spearman|),0.53,explicativa
n_os_acum_ate_ano_anterior,quantitativa (|Spearman|),0.461,explicativa
custo_acum_ate_ano_anterior,quantitativa (|Spearman|),0.452,explicativa
flag_refrigerado,categorica (eta),0.4321,explicativa
km_acumulado_fim_ano,quantitativa (|Spearman|),0.428,explicativa
vmrs_predominante_ano,categorica (eta),0.3423,explicativa
anos_ativo_ate_ano_anterior,quantitativa (|Spearman|),0.254,explicativa
cod_montadora,categorica (eta),0.2383,explicativa
share_pm_ano,quantitativa (|Spearman|),0.172,explicativa
tire_size,categorica (eta),0.1546,explicativa
suspension_type,categorica (eta),0.1473,explicativa
provincia_estado,categorica (eta),0.1424,explicativa
new_used_indicator,categorica (eta),0.1199,explicativa
comprimento,quantitativa (|Spearman|),0.097,explicativa
regiao_operacao,categorica (eta),0.0775,explicativa
ano_modelo,quantitativa (|Spearman|),0.053,explicativa
eixos,quantitativa (|Spearman|),0.051,explicativa
idade_carreta,quantitativa (|Spearman|),0.018,explicativa
