variavel,categoria,N,y_media,y_mediana
tipo_manutencao_ano,MAINT,41739,1803.4,914.3
tipo_manutencao_ano,MIX,647,2579.8,1522.9
tipo_manutencao_ano,NET,1064,443.4,139.3
tipo_manutencao_ano,SEM_CONTRATO,2779,802.9,359.9
tipo_manutencao_ano,SEM_OS,1486,0.0,0.0
cod_montadora,ALU,1,994.5,994.5
cod_montadora,CHEVROLET,1,3208.0,3208.0
cod_montadora,CPCTY,1,1645.3,1645.3
cod_montadora,DI-MOND,203,902.3,562.9
cod_montadora,DORSEY,8,301.5,259.8
cod_montadora,FORD,181,1572.7,789.1
cod_montadora,FREIGHTLINER,11,2151.0,1811.1
cod_montadora,GMC,10,1031.5,671.1
cod_montadora,GRTDNE,1714,1231.6,610.9
cod_montadora,HYUNDAI,3882,1617.8,963.5
cod_montadora,INTRNTL,9,2994.8,2233.0
cod_montadora,ITD,641,1286.0,856.3
cod_montadora,MANAC,4720,1238.4,661.4
cod_montadora,MCHAS,165,582.0,348.7
cod_montadora,MOND,280,503.3,307.1
cod_montadora,MONON,6,642.1,269.8
cod_montadora,RAM,1,1342.7,1342.7
cod_montadora,STGHTN,9820,1088.2,663.9
cod_montadora,STRICK,29,845.1,344.6
cod_montadora,STWRT,6,928.4,400.3
cod_montadora,TMOBILE,2695,844.2,492.9
cod_montadora,TRANSC,62,2206.5,1416.8
cod_montadora,UTLTY,18465,2287.0,1018.0
cod_montadora,VGUARD,184,1039.9,652.9
cod_montadora,VLVNA,18,820.8,599.0
cod_montadora,WABASH,4590,1790.1,1130.6
flag_refrigerado,N,33544,1009.5,570.7
flag_refrigerado,Y,14171,3230.8,2134.6
unit_subtype,CH3,321,936.3,427.1
unit_subtype,CH4,28,837.5,484.0
unit_subtype,DC2,11591,1052.3,595.9
unit_subtype,DC3,480,2027.4,1871.8
unit_subtype,DEAD,34,345.2,188.4
unit_subtype,DH2,6040,758.7,351.6
unit_subtype,DH3,275,940.3,403.9
unit_subtype,DS,11942,970.8,617.4
unit_subtype,DSS,1782,1322.0,831.9
unit_subtype,FL2,71,2907.7,2496.3
unit_subtype,FL3,231,1785.8,1138.6
unit_subtype,HC2,262,3457.2,3137.8
unit_subtype,HC3,613,4991.5,3362.6
unit_subtype,HH2,2699,1247.1,937.0
unit_subtype,HH3,240,1053.2,194.3
unit_subtype,HS,219,1847.3,1416.6
unit_subtype,RC2,3590,4879.9,4050.7
unit_subtype,RC3,192,5088.8,3620.7
unit_subtype,RHM2,1806,4162.6,3255.6
unit_subtype,RHM3,42,9293.1,8732.9
unit_subtype,RHS2,4015,2581.9,1784.5
unit_subtype,RHS3,448,1995.2,281.7
unit_subtype,RS,19,1698.0,1028.1
unit_subtype,SP,758,1323.8,725.4
unit_subtype,TK,11,2975.8,3406.8
unit_subtype,Z,6,1357.2,1383.1
tire_size,10R20,6,585.8,593.1
tire_size,10R225,6,1864.0,1650.4
tire_size,10X20,4,14.1,5.7
tire_size,11R22.5,32315,1770.5,863.1
tire_size,11R24.5,65,1675.0,1177.2
tire_size,11R245,87,1763.4,1212.7
tire_size,11X225,103,2138.0,1341.4
tire_size,11X245,6,1947.0,1756.8
tire_size,12R225,9,2159.8,274.6
tire_size,22.5 70R 22.5,18,6061.0,3604.1
tire_size,225/55X225,6,1311.3,1563.8
tire_size,235/75X15,7,155.4,213.7
tire_size,245/70R17.5,6,7590.9,6970.7
tire_size,255 70R 22.5,28,1125.1,789.4
tire_size,275/70R22.5,35,3541.1,971.8
tire_size,275/80R22.5,965,2869.0,1365.6
tire_size,295/75R22.5,4048,1465.8,596.6
tire_size,295/80R22.5,131,2281.0,975.7
tire_size,295X225,1121,905.7,559.5
tire_size,445/50R22.5,734,1877.8,923.3
tire_size,445/50R225,195,1471.4,883.9
tire_size,455/50R22.5,295,1622.0,971.5
tire_size,455/55R22.5,291,1313.9,943.3
tire_size,LPX225,724,2864.6,1030.8
suspension_type,AIR,25727,1615.5,798.6
suspension_type,ANTI DOCK WALK,3558,1966.3,1103.9
suspension_type,AUTOMATIC GREASING SYSTEM,483,1526.9,1035.3
suspension_type,EVELY,179,2188.7,847.8
suspension_type,HENDRICKSON,8934,2286.7,1346.6
suspension_type,HOLLAND,284,1103.1,738.5
suspension_type,HUTCH,67,581.0,384.2
suspension_type,SPRING,2158,946.3,523.0
new_used_indicator,NEW,37986,1806.7,832.8
new_used_indicator,USED,9550,1122.9,753.2
descricao_carreta,2017 FREIGHTLINER - EDMONTON SHUNT TRUCK,6,3441.1,2037.7
descricao_carreta,2021 FORD F550 XL CORNWALL SERVICE UNIT,5,4926.7,3803.0
descricao_carreta,"28' S/A PLATE VAN W TA TAILGATE, S DOOR",6,462.8,98.1
descricao_carreta,28' S/A REEFER VAN W LIFTGATE,4,1374.8,1205.3
descricao_carreta,30' S/A PLATE VAN W TAILGATE,5,172.2,116.8
descricao_carreta,30' T/A B TRAIN PUP REEFER VAN W RAILGATE,12,2749.4,2503.4
descricao_carreta,30' T/A B-LEAD REEFER VAN W TAILGATE,114,7614.1,7043.3
descricao_carreta,30' T/A HEATER VAN W TAILGATE,11,1670.5,1369.3
descricao_carreta,30' T/A PUP HEATER LEAD VAN W TAILGATE,12,2641.1,2759.4
descricao_carreta,30' T/A REEFER VAN W TAILGATE,4,2095.2,1377.8
descricao_carreta,31' T/A 4000DX PUP VAN,5,1737.1,1815.0
descricao_carreta,31' T/A B TRAIN PUP REEFER VAN,12,6034.5,6216.9
descricao_carreta,31' T/A B-LEAD REEFER VAN,30,7145.0,6542.6
descricao_carreta,31' T/A B-TRAIN LEAD,153,695.0,530.0
descricao_carreta,31' T/A B-TRAIN LEAD DRY VAN,6,3130.5,3292.0
descricao_carreta,31' T/A B-TRAIN PUP 4000DX VAN,30,1653.3,1233.4
descricao_carreta,31' T/A B-TRAIN PUP MULTI-TEMP REEFER,6,12911.6,12798.9
descricao_carreta,31' T/A B-TRAIN REEFER PUP,18,8859.4,8952.4
descricao_carreta,31' T/A LEAD REEFER VAN,25,2950.8,1139.3
descricao_carreta,31' T/A M/T PUP REEFER VAN,42,5989.8,5645.4
descricao_carreta,31' T/A MT LEAD REEFER VAN,390,7778.1,7225.6
descricao_carreta,31' T/A PUP M/T REEFER VAN,18,16884.6,18023.1
descricao_carreta,31' T/A PUP MULTI TEMP REEFER VAN,12,17003.9,12204.3
descricao_carreta,31' T/A PUP REEFER VAN,6,10563.8,8688.7
descricao_carreta,31' TA PUP M/T REEFER,6,886.7,798.2
descricao_carreta,31' TA PUP M/T REEFER W TAILGATE,6,2236.2,2218.9
descricao_carreta,32' S/A DRY VAN W TAILGATE,23,547.6,448.8
descricao_carreta,32' T/A PLATE VAN W/TAILGATE,11,1575.5,1548.1
descricao_carreta,32' T/A PUP REEFER VAN W TAILGATE,4,3834.2,3281.1
descricao_carreta,32' T/A REEFER VAN,6,4491.5,4696.1
descricao_carreta,32' T/A REEFER VAN W TAILGATE,17,2686.8,1747.3
descricao_carreta,33' T/A DRY VAN,6,3836.7,2957.1
descricao_carreta,36' S/A INSULATED DRY VAN,2,14697.0,14697.0
descricao_carreta,36' S/A INSULATED DRY VAN W TAILGATE,2,1068.1,1068.1
descricao_carreta,36' T/A 4000DX C/W TAILGATE,2,229.4,229.4
descricao_carreta,36' T/A DRY VAN,7,943.2,657.0
descricao_carreta,36' T/A DRY VAN W TAILGATE,24,2250.4,1583.9
descricao_carreta,36' T/A DRY VAN W/TAILGATE,2,435.2,435.2
descricao_carreta,36' T/A M/T REEFER VAN W TAILGATE,6,7563.3,5415.0
descricao_carreta,36' T/A PLATE VAN W GATE,3,7682.4,7680.9
descricao_carreta,36' T/A PLATE VAN W MAXON GPT4 GATE,2,592.8,592.8
descricao_carreta,"36' T/A PLATE VAN W TA TAILGATE, S DOOR",4,501.0,477.9
descricao_carreta,36' T/A PLATE VAN W TAILGATE,298,2006.9,1537.5
descricao_carreta,36' T/A PUP REEFER VAN,6,7814.8,7470.5
descricao_carreta,36' T/A REEFER VAN,5,5831.3,6950.1
descricao_carreta,36' T/A REEFER VAN W TAILGATE,12,7206.3,6403.3
descricao_carreta,36' T/A ST REEFER VAN,30,3068.9,2759.5
descricao_carreta,40' T/A DRY VAN,4,242.8,187.8
descricao_carreta,40' T/A DRY VAN W MAXON GPT4 GATE,2,1305.1,1305.1
descricao_carreta,40' T/A DRY VAN W TAILGATE,14,1922.9,1298.5
descricao_carreta,40' T/A M/T REEFER VAN,6,3371.8,2900.7
descricao_carreta,40' T/A M/T REEFER VAN W TAILGATE,4,967.2,278.6
descricao_carreta,40' T/A PLATE VAN,6,589.0,538.3
descricao_carreta,40' T/A PLATE VAN W/TAILGATE,1,9347.1,9347.1
descricao_carreta,40' T/A REEFER VAN W TAILGATE,16,317.7,299.2
descricao_carreta,40' T/A REEFER VAN W/TAILGATE,6,3642.1,2169.3
descricao_carreta,40' T/A S/T REEFER VAN W GATE,6,2586.5,2876.5
descricao_carreta,40'-53' TRIDEM EXTENDABLE CHASSIS,24,1952.7,1906.8
descricao_carreta,40-53' EXT. GALV. GOOSENECK TRIDEM CHASSIS,12,2014.3,1661.6
descricao_carreta,40-53' EXT. QUAD CHASSIS,28,837.5,484.0
descricao_carreta,40-53' EXT. TRIDEM CHASSIS,20,490.6,438.5
descricao_carreta,40-53' TRIDEM EXT. CHASSIS,10,2062.7,1714.2
descricao_carreta,42' T/A DRY VAN W TAILGATE,14,2954.4,2619.5
descricao_carreta,42' TRIDEM DUMP TRAILER,11,802.9,724.9
descricao_carreta,44.5' T/A DRY VAN,6,462.3,474.8
descricao_carreta,45' B-TRAIN PUP TRIDEM CHASSIS,3,1530.7,1190.1
descricao_carreta,45' T/A M/T REEFER VAN RAIL GATE,6,6053.4,4042.2
descricao_carreta,45' T/A M/T REEFER VAN W/TAILGATE,6,3301.1,2245.3
descricao_carreta,4500 CUTAWAY,1,3208.0,3208.0
descricao_carreta,48' QUAD AXLE ALUM FLATBED,6,3968.6,3669.3
