segmento,categoria,n,mae
unit_subtype,CH3,58,893.9
unit_subtype,DC2,2242,713.4
unit_subtype,DC3,77,987.1
unit_subtype,DH2,1195,573.3
unit_subtype,DH3,84,827.6
unit_subtype,DS,1825,758.8
unit_subtype,DSS,296,795.7
unit_subtype,FL3,46,1463.6
unit_subtype,HC2,42,2196.1
unit_subtype,HC3,95,2735.5
unit_subtype,HH2,529,870.2
unit_subtype,HH3,159,237.4
unit_subtype,HS,33,1108.3
unit_subtype,RC2,589,2666.8
unit_subtype,RHM2,411,2292.6
unit_subtype,RHS2,777,1821.9
unit_subtype,RHS3,88,1159.4
unit_subtype,SP,152,686.2
flag_refrigerado,N,5995,722.7
flag_refrigerado,Y,2767,1836.1
tipo_manutencao_ano,MAINT,7789,1122.1
tipo_manutencao_ano,MIX,181,1982.7
tipo_manutencao_ano,NET,295,232.0
tipo_manutencao_ano,SEM_CONTRATO,497,493.8
