cenario,modelo,r2,rmse,mae
explicativo,regressao_linear_multipla,0.0356,2663.4,1165.5
explicativo,ridge,0.0256,2677.2,1166.9
explicativo,arvore_decisao,0.5315,1856.5,959.8
explicativo,random_forest,0.5734,1771.5,915.5
explicativo,gradient_boosting,0.5854,1746.4,907.5
explicativo,knn,0.5289,1861.6,986.1
explicativo,regressao_polinomial_grau_2,0.3876,2122.4,1079.1
preditivo,regressao_linear_multipla,0.2719,2314.2,1202.0
preditivo,ridge,0.2665,2322.8,1202.7
preditivo,arvore_decisao,0.4124,2079.1,1128.2
preditivo,random_forest,0.4486,2013.9,1088.6
preditivo,gradient_boosting,0.4549,2002.4,1092.7
preditivo,knn,0.4487,2013.8,1099.0
preditivo,regressao_polinomial_grau_2,0.2723,2313.6,1258.1
