config,cenario,modelo,r2,rmse,mae
A_todos_sem_contrato,explicativo,regressao_linear_multipla,-0.215,2963.5,1210.2
A_todos_sem_contrato,explicativo,ridge,-0.236,2988.9,1214.4
A_todos_sem_contrato,explicativo,arvore_decisao,0.5092,1883.5,971.3
A_todos_sem_contrato,explicativo,random_forest,0.57,1762.9,890.3
A_todos_sem_contrato,explicativo,gradient_boosting,0.5684,1766.2,896.6
A_todos_sem_contrato,explicativo,knn,0.5201,1862.5,957.3
A_todos_sem_contrato,explicativo,regressao_polinomial_grau_2,-0.8711,3677.5,1408.5
A_todos_sem_contrato,preditivo,regressao_linear_multipla,-0.1331,2861.8,1288.2
A_todos_sem_contrato,preditivo,ridge,-0.1288,2856.4,1287.2
A_todos_sem_contrato,preditivo,arvore_decisao,0.3964,2088.7,1111.7
A_todos_sem_contrato,preditivo,random_forest,0.4323,2025.7,1063.3
A_todos_sem_contrato,preditivo,gradient_boosting,0.4039,2075.7,1101.4
A_todos_sem_contrato,preditivo,knn,0.4215,2044.8,1083.5
A_todos_sem_contrato,preditivo,regressao_polinomial_grau_2,0.1159,2527.9,1366.9
B_maint_sem_contrato,explicativo,regressao_linear_multipla,0.0474,2647.1,1164.0
B_maint_sem_contrato,explicativo,ridge,0.0412,2655.7,1165.5
B_maint_sem_contrato,explicativo,arvore_decisao,0.531,1857.4,960.1
B_maint_sem_contrato,explicativo,random_forest,0.5749,1768.3,916.4
B_maint_sem_contrato,explicativo,gradient_boosting,0.5878,1741.2,907.8
B_maint_sem_contrato,explicativo,knn,0.5266,1866.1,986.3
B_maint_sem_contrato,explicativo,regressao_polinomial_grau_2,0.4196,2066.2,1044.3
B_maint_sem_contrato,preditivo,regressao_linear_multipla,0.2943,2278.3,1201.6
B_maint_sem_contrato,preditivo,ridge,0.2896,2285.9,1201.8
B_maint_sem_contrato,preditivo,arvore_decisao,0.4133,2077.4,1131.8
B_maint_sem_contrato,preditivo,random_forest,0.4513,2009.0,1091.4
B_maint_sem_contrato,preditivo,gradient_boosting,0.4516,2008.5,1092.8
B_maint_sem_contrato,preditivo,knn,0.4461,2018.4,1100.5
B_maint_sem_contrato,preditivo,regressao_polinomial_grau_2,0.2704,2316.7,1235.7
C_maint_com_contrato,explicativo,regressao_linear_multipla,0.0356,2663.4,1165.5
C_maint_com_contrato,explicativo,ridge,0.0256,2677.2,1166.9
C_maint_com_contrato,explicativo,arvore_decisao,0.5315,1856.5,959.8
C_maint_com_contrato,explicativo,random_forest,0.5734,1771.5,915.5
C_maint_com_contrato,explicativo,gradient_boosting,0.5854,1746.4,907.5
C_maint_com_contrato,explicativo,knn,0.5289,1861.6,986.1
C_maint_com_contrato,explicativo,regressao_polinomial_grau_2,0.3876,2122.4,1079.1
C_maint_com_contrato,preditivo,regressao_linear_multipla,0.2719,2314.2,1202.0
C_maint_com_contrato,preditivo,ridge,0.2665,2322.8,1202.7
C_maint_com_contrato,preditivo,arvore_decisao,0.4124,2079.1,1128.2
C_maint_com_contrato,preditivo,random_forest,0.4486,2013.9,1088.6
C_maint_com_contrato,preditivo,gradient_boosting,0.4549,2002.4,1092.7
C_maint_com_contrato,preditivo,knn,0.4487,2013.8,1099.0
C_maint_com_contrato,preditivo,regressao_polinomial_grau_2,0.2723,2313.6,1258.1
