variavel,tipo,metrica,forca,spearman,pearson,p_valor,n_validos,pct_ausente,n_categorias,classificacao,alerta
custo_ano_nominal,quantitativa,Spearman,0.9987,0.9987,0.9977,0.0,47715,0.0,,FORTE,
custo_medio_por_os_ano,quantitativa,Spearman,0.7863,0.7863,0.5123,0.0,47715,0.0,,FORTE,
n_os_ano,quantitativa,Spearman,0.7676,0.7676,0.7485,0.0,47715,0.0,,FORTE,
n_sistemas_vmrs_distintos_ano,quantitativa,Spearman,0.7021,0.7021,0.6308,0.0,47715,0.0,,FORTE,
cod_cliente_predominante_ano,categorica,eta (ANOVA),0.6092,,,0.0,47715,0.0,547.0,FORTE,"eta inflado: mais de 30 categorias explicam variancia por contagem de graus de liberdade, nao por efeito real. Nao comparar com variaveis de poucos niveis"
data_entrada_servico,categorica,eta (ANOVA),0.6007,,,0.0,47715,0.01,2091.0,FORTE,"eta inflado: mais de 30 categorias explicam variancia por contagem de graus de liberdade, nao por efeito real. Nao comparar com variaveis de poucos niveis"
descricao_carreta,categorica,eta (ANOVA),0.5942,,,0.0,47715,0.0,248.0,FORTE,"eta inflado: mais de 30 categorias explicam variancia por contagem de graus de liberdade, nao por efeito real. Nao comparar com variaveis de poucos niveis"
unit_subtype,categorica,eta (ANOVA),0.5438,,,0.0,47715,0.0,26.0,FORTE,
n_os_ano_anterior,quantitativa,Spearman,0.5391,0.5391,0.5886,0.0,38130,20.09,,FORTE,
custo_ano_anterior,quantitativa,Spearman,0.5375,0.5375,0.5871,0.0,38130,20.09,,FORTE,
km_rodado_ano,quantitativa,Spearman,0.527,0.527,0.418,0.0,37822,20.73,,FORTE,
n_os_acum_ate_ano_anterior,quantitativa,Spearman,0.465,0.465,0.538,0.0,47715,0.0,,FORTE,
custo_acum_ate_ano_anterior,quantitativa,Spearman,0.4571,0.4571,0.5496,0.0,47715,0.0,,FORTE,
km_acumulado_fim_ano,quantitativa,Spearman,0.435,0.435,0.3725,0.0,47448,0.56,,FORTE,
flag_refrigerado,categorica,eta (ANOVA),0.4246,,,0.0,47715,0.0,2.0,FORTE,
vmrs_predominante_ano,categorica,eta (ANOVA),0.3358,,,0.0,47715,0.0,23.0,FORTE,
populacao_maint_flag,quantitativa,Spearman,0.3073,0.3073,0.1484,0.0,47715,0.0,,FORTE,
n_tipos_manutencao_ano,quantitativa,Spearman,0.2915,0.2915,0.1568,0.0,47715,0.0,,moderada,
anos_ativo_ate_ano_anterior,quantitativa,Spearman,0.2602,0.2602,0.1881,0.0,47715,0.0,,moderada,
n_clientes_ano,quantitativa,Spearman,0.2303,0.2303,0.1435,0.0,47715,0.0,,moderada,
cod_montadora,categorica,eta (ANOVA),0.2302,,,0.0,47715,0.03,27.0,moderada,
share_maint_ano,quantitativa,Spearman,0.23,0.23,0.1378,0.0,47715,0.0,,moderada,
tipo_manutencao_ano,categorica,eta (ANOVA),0.1828,,,0.0,47715,0.0,5.0,moderada,
share_pm_ano,quantitativa,Spearman,0.1718,-0.1718,-0.243,0.0,47715,0.0,,moderada,
suspension_type,categorica,eta (ANOVA),0.1603,,,1.0034563391412931e-262,47715,13.26,9.0,moderada,
tire_size,categorica,eta (ANOVA),0.1578,,,8.758952989866393e-239,47715,13.64,25.0,moderada,
provincia_estado,categorica,eta (ANOVA),0.1417,,,8.641605150919503e-194,47715,0.0,24.0,fraca,
tempo_contrato_meses_fim_ano,quantitativa,Spearman,0.1403,0.1403,0.0655,9.707774762410714e-190,43450,8.94,,fraca,
tempo_contrato_meses_inicio_ano,quantitativa,Spearman,0.1155,0.1155,0.0553,2.245937786040739e-103,34683,27.31,,fraca,
new_used_indicator,categorica,eta (ANOVA),0.1144,,,3.455373064790193e-137,47715,0.38,3.0,fraca,
comprimento,quantitativa,Spearman,0.097,-0.097,-0.2326,7.895243250008099e-99,47055,1.38,,fraca,
trocou_contrato_ano,quantitativa,Spearman,0.0844,0.0844,0.0772,3.034769802282711e-76,47715,0.0,,fraca,
regiao_operacao,categorica,eta (ANOVA),0.076,,,6.162219984454961e-55,47715,0.0,10.0,fraca,
eixos,quantitativa,Spearman,0.0506,0.0506,0.0861,2.038478868414665e-28,47624,0.19,,fraca,
ano_modelo,quantitativa,Spearman,0.0414,0.0414,0.1021,1.3874059776858355e-19,47709,0.01,,fraca,
idade_carreta,quantitativa,Spearman,0.0321,0.0321,-0.0542,2.368161081180893e-12,47709,0.01,,fraca,
tailgate_flag,categorica,eta (ANOVA),,,,,47715,0.0,1.0,nao calculavel,
