variavel_origem,coluna_dummy,categoria,categoria_base_omitida,pct_linhas,forca_Y1,classificacao,status
vmrs_predominante_ano,dm_vmrs_predominante_ano_02,02,01,3.39,0.3358,FORTE,materializada
vmrs_predominante_ano,dm_vmrs_predominante_ano_03,03,01,3.15,0.3358,FORTE,materializada
vmrs_predominante_ano,dm_vmrs_predominante_ano_09,09,01,4.46,0.3358,FORTE,materializada
vmrs_predominante_ano,dm_vmrs_predominante_ano_10,10,01,4.24,0.3358,FORTE,materializada
vmrs_predominante_ano,dm_vmrs_predominante_ano_OUTROS,OUTROS,01,6.95,0.3358,FORTE,materializada
vmrs_predominante_ano,dm_vmrs_predominante_ano_PM,PM,01,20.36,0.3358,FORTE,materializada
vmrs_predominante_ano,dm_vmrs_predominante_ano_SEM_OS,SEM_OS,01,3.11,0.3358,FORTE,materializada
tipo_manutencao_ano,dm_tipo_manutencao_ano_MIX,MIX,MAINT,1.36,0.1828,moderada,"materializada (excecao de escopo: sustenta H6b, razao da revogacao de D6)"
tipo_manutencao_ano,dm_tipo_manutencao_ano_NET,NET,MAINT,2.23,0.1828,moderada,"materializada (excecao de escopo: sustenta H6b, razao da revogacao de D6)"
tipo_manutencao_ano,dm_tipo_manutencao_ano_SEM_CONTRATO,SEM_CONTRATO,MAINT,5.82,0.1828,moderada,"materializada (excecao de escopo: sustenta H6b, razao da revogacao de D6)"
tipo_manutencao_ano,dm_tipo_manutencao_ano_SEM_OS,SEM_OS,MAINT,3.11,0.1828,moderada,"materializada (excecao de escopo: sustenta H6b, razao da revogacao de D6)"
descricao_carreta,dm_descricao_carreta_36' T/A PLATE VAN W TAILGATE,36' T/A PLATE VAN W TAILGATE,31' T/A MT LEAD REEFER VAN,0.62,0.5942,FORTE,materializada
descricao_carreta,dm_descricao_carreta_48' T/A 4000DX VAN,48' T/A 4000DX VAN,31' T/A MT LEAD REEFER VAN,0.64,0.5942,FORTE,materializada
descricao_carreta,dm_descricao_carreta_53' T/A 3-TEMP REEFER VAN,53' T/A 3-TEMP REEFER VAN,31' T/A MT LEAD REEFER VAN,0.54,0.5942,FORTE,materializada
